"Compound","tissue","conc_micromolar"
"succinate","metastaticLungLM2",100.541095545887
"malate","metastaticLungLM2",74.6140659783001
"citrate/isocitrate","metastaticLungLM2",147.145314689895
"glutamate","metastaticLungLM2",2367.43766751159
"aspartate","metastaticLungLM2",934.573233677821
"a-ketoglutarate","metastaticLungLM2",28.371391038054
"succinate","metastaticLungLM2",70.5894893010766
"malate","metastaticLungLM2",44.9192712678543
"citrate/isocitrate","metastaticLungLM2",153.821526504052
"glutamate","metastaticLungLM2",2370.95511176629
"aspartate","metastaticLungLM2",1077.81646866588
"a-ketoglutarate","metastaticLungLM2",35.6477210187871
"succinate","metastaticLungLM2",110.135330438761
"malate","metastaticLungLM2",85.4864591599134
"citrate/isocitrate","metastaticLungLM2",146.090496434756
"glutamate","primaryTumorLM2",6048.93195324442
"aspartate","primaryTumorLM2",524.343224028539
"a-ketoglutarate","primaryTumorLM2",77.9859937099047
"succinate","primaryTumorLM2",160.442333648955
"malate","primaryTumorLM2",89.9210716403132
"citrate/isocitrate","primaryTumorLM2",306.431734995521
"glutamate","primaryTumorLM2",6287.20165137605
"aspartate","primaryTumorLM2",712.01683215275
"a-ketoglutarate","primaryTumorLM2",88.5958035323529
"succinate","primaryTumorLM2",170.192502392897
"malate","primaryTumorLM2",96.36224075228
"citrate/isocitrate","primaryTumorLM2",218.229126631734
"glutamate","primaryTumorLM2",3771.82598916858
"aspartate","primaryTumorLM2",427.031785695233
"a-ketoglutarate","primaryTumorLM2",42.0160484084062
"succinate","primaryTumorLM2",106.899639016741
"malate","primaryTumorLM2",38.8755421730084
"citrate/isocitrate","primaryTumorLM2",122.185393496453
"glutamate","primaryTumorLM2",2243.9826371177
"aspartate","primaryTumorLM2",146.764518885906
"a-ketoglutarate","primaryTumorLM2",28.807903434003
"succinate","primaryTumorLM2",82.6508989243611
"malate","primaryTumorLM2",14.0936397284218
"citrate/isocitrate","primaryTumorLM2",78.2682440529397
"glutamate","primaryTumorLM2",2824.24905695556
"aspartate","primaryTumorLM2",272.328506487035
"a-ketoglutarate","primaryTumorLM2",29.6771041203895
"succinate","primaryTumorLM2",91.82459220965
"malate","primaryTumorLM2",30.7076114631668
"citrate/isocitrate","primaryTumorLM2",127.987161701394
"glutamate","primaryTumorLM2",771.312201115937
"aspartate","primaryTumorLM2",86.9991991120807
"a-ketoglutarate","primaryTumorLM2",14.8899522685045
"succinate","primaryTumorLM2",31.3232795205159
"malate","primaryTumorLM2",5.38895805660808
"citrate/isocitrate","primaryTumorLM2",67.5883787277284
"glutamate","primaryTumorLM2",2414.34737321618
"aspartate","primaryTumorLM2",1075.03467733442
"a-ketoglutarate","primaryTumorLM2",34.9921545158681
"succinate","primaryTumorLM2",109.62847765033
"malate","primaryTumorLM2",87.5291917041959
"citrate/isocitrate","primaryTumorLM2",150.004400541203
"glutamate","metastaticLungM1a",1742.61394138959
"aspartate","metastaticLungM1a",740.015622175361
"succinate","metastaticLungM1a",117.450717306002
"malate","metastaticLungM1a",175.421695981765
"citrate/isocitrate","metastaticLungM1a",451.689768705264
"a-ketoglutarate","metastaticLungM1a",60.1997984917703
"glutamate","metastaticLungM1a",1171.11630242864
"aspartate","metastaticLungM1a",382.457322231618
"succinate","metastaticLungM1a",80.264755598857
"malate","metastaticLungM1a",199.492181003717
"citrate/isocitrate","metastaticLungM1a",571.785651060898
"a-ketoglutarate","metastaticLungM1a",58.3295428740601
"glutamate","metastaticLungM1a",1635.36290694262
"aspartate","metastaticLungM1a",795.94845886863
"succinate","metastaticLungM1a",86.0735563930797
"malate","metastaticLungM1a",159.980012481612
"citrate/isocitrate","metastaticLungM1a",373.26194906991
"a-ketoglutarate","metastaticLungM1a",59.5209618933008
"glutamate","metastaticLungM1a",2004.83474272919
"aspartate","metastaticLungM1a",762.887881143701
"succinate","metastaticLungM1a",125.245553316232
"malate","metastaticLungM1a",294.541949203067
"citrate/isocitrate","metastaticLungM1a",566.858444911995
"a-ketoglutarate","metastaticLungM1a",77.537411608656
"glutamate","metastaticLungM1a",976.198955917554
"aspartate","metastaticLungM1a",625.440192614835
"succinate","metastaticLungM1a",115.54374069502
"malate","metastaticLungM1a",160.219055047763
"citrate/isocitrate","metastaticLungM1a",438.050535280256
"a-ketoglutarate","metastaticLungM1a",32.0303008795392
"glutamate","metastaticLungM1a",1531.94573746248
"aspartate","metastaticLungM1a",815.493620788325
"succinate","metastaticLungM1a",123.739373541548
"malate","metastaticLungM1a",263.86457103642
"citrate/isocitrate","metastaticLungM1a",550.637661014579
"a-ketoglutarate","metastaticLungM1a",41.0644619434624
"glutamate","primaryTumorM1a",2697.7169903426
"aspartate","primaryTumorM1a",354.309280400873
"succinate","primaryTumorM1a",158.725867216786
"malate","primaryTumorM1a",110.064589100103
"citrate/isocitrate","primaryTumorM1a",312.684699274184
"a-ketoglutarate","primaryTumorM1a",75.5004352479917
"glutamate","primaryTumorM1a",1399.51714006024
"aspartate","primaryTumorM1a",190.927254915552
"succinate","primaryTumorM1a",76.2226869252558
"malate","primaryTumorM1a",41.8088507183661
"citrate/isocitrate","primaryTumorM1a",162.890725044958
"a-ketoglutarate","primaryTumorM1a",15.4530275024505
"glutamate","primaryTumorM1a",1531.34766864784
"aspartate","primaryTumorM1a",169.580070416974
"succinate","primaryTumorM1a",91.2778335738861
"malate","primaryTumorM1a",45.6421060292258
"citrate/isocitrate","primaryTumorM1a",141.108496900934
"a-ketoglutarate","primaryTumorM1a",17.037324878502
"glutamate","primaryTumorM1a",3254.15999918908
"aspartate","primaryTumorM1a",313.292899254234
"succinate","primaryTumorM1a",181.831594248817
"malate","primaryTumorM1a",63.9740136917215
"citrate/isocitrate","primaryTumorM1a",215.050408768091
"a-ketoglutarate","primaryTumorM1a",27.110083911951
"glutamate","primaryTumorM1a",2932.84318921836
"aspartate","primaryTumorM1a",415.167135688196
"succinate","primaryTumorM1a",174.189073424452
"malate","primaryTumorM1a",112.203267275811
"citrate/isocitrate","primaryTumorM1a",301.871756108026
"a-ketoglutarate","primaryTumorM1a",31.0928297556367
"glutamate","primaryTumorM1a",1917.93415603683
"aspartate","primaryTumorM1a",212.334712867865
"succinate","primaryTumorM1a",162.849161645365
"malate","primaryTumorM1a",48.8814852597148
"citrate/isocitrate","primaryTumorM1a",239.207622461043
"a-ketoglutarate","primaryTumorM1a",21.816920991262
"glutamate","primaryTumorM1a",3188.50471007256
"aspartate","primaryTumorM1a",724.648095125555
"succinate","primaryTumorM1a",156.947876581145
"malate","primaryTumorM1a",111.326457996782
"citrate/isocitrate","primaryTumorM1a",284.505968558931
"a-ketoglutarate","primaryTumorM1a",32.6475135340163
"glutamate","leukemicSpleen",6179.45156453727
"aspartate","leukemicSpleen",2117.06565587607
"succinate","leukemicSpleen",226.169439653998
"malate","leukemicSpleen",392.769541606085
"a-ketoglutarate","leukemicSpleen",114.488599853318
"citrate/isocitrate","leukemicSpleen",65.3252678138714
"glutamate","controlSpleen_forLeukemia",2108.38570370882
"aspartate","controlSpleen_forLeukemia",1804.96782949201
"succinate","controlSpleen_forLeukemia",80.9761782930088
"malate","controlSpleen_forLeukemia",70.1276849615684
"a-ketoglutarate","controlSpleen_forLeukemia",48.8110701580404
"citrate/isocitrate","controlSpleen_forLeukemia",32.8003411194415
"glutamate","leukemicSpleen",1913.74472619451
"aspartate","leukemicSpleen",825.956419295441
"succinate","leukemicSpleen",92.0525390792109
"malate","leukemicSpleen",92.7058844838338
"a-ketoglutarate","leukemicSpleen",53.5093425999845
"citrate/isocitrate","leukemicSpleen",22.6613593751331
"glutamate","controlSpleen_forLeukemia",2359.7045984634
"aspartate","controlSpleen_forLeukemia",2465.97106020306
"succinate","controlSpleen_forLeukemia",84.480496897147
"malate","controlSpleen_forLeukemia",82.8418110722488
"a-ketoglutarate","controlSpleen_forLeukemia",53.2731231457276
"citrate/isocitrate","controlSpleen_forLeukemia",52.7416467193069
"glutamate","leukemicSpleen",5667.08670372026
"aspartate","leukemicSpleen",2938.57210256608
"succinate","leukemicSpleen",220.001492723267
"malate","leukemicSpleen",309.82179886144
"a-ketoglutarate","leukemicSpleen",130.19179170163
"citrate/isocitrate","leukemicSpleen",61.7631877306735
"glutamate","controlSpleen_forLeukemia",3389.40343396143
"aspartate","controlSpleen_forLeukemia",2954.32474041458
"succinate","controlSpleen_forLeukemia",119.152074285323
"malate","controlSpleen_forLeukemia",141.214918080304
"a-ketoglutarate","controlSpleen_forLeukemia",79.1304267967591
"citrate/isocitrate","controlSpleen_forLeukemia",111.038225418674
"glutamate","leukemicSpleen",5641.5778457885
"aspartate","leukemicSpleen",2859.96487377946
"succinate","leukemicSpleen",200.487326065191
"malate","leukemicSpleen",325.485750244612
"a-ketoglutarate","leukemicSpleen",110.071600822404
"citrate/isocitrate","leukemicSpleen",135.889447318019
"glutamate","leukemicSpleen",3483.07125873397
"aspartate","leukemicSpleen",1522.38053691124
"succinate","leukemicSpleen",171.980977656597
"malate","leukemicSpleen",174.028986805489
"a-ketoglutarate","leukemicSpleen",59.2426095468413
"citrate/isocitrate","leukemicSpleen",61.0775987503836
"glutamate","leukemicSpleen",3399.60054152454
"aspartate","leukemicSpleen",1392.51002238406
"succinate","leukemicSpleen",175.872501969323
"malate","leukemicSpleen",228.636449195849
"a-ketoglutarate","leukemicSpleen",73.7657112604799
"citrate/isocitrate","leukemicSpleen",154.940835747453
"glutamate","leukemicSpleen",4185.33635287988
"aspartate","leukemicSpleen",1979.40426773149
"succinate","leukemicSpleen",160.597203220051
"malate","leukemicSpleen",255.772679031131
"a-ketoglutarate","leukemicSpleen",78.8071638647982
"citrate/isocitrate","leukemicSpleen",201.028250805944
"glutamate","leukemicSpleen",3563.07616736242
"aspartate","leukemicSpleen",1707.56143564886
"succinate","leukemicSpleen",143.675550782072
"malate","leukemicSpleen",190.812541729138
"a-ketoglutarate","leukemicSpleen",72.1662762096428
"citrate/isocitrate","leukemicSpleen",261.493981607042
"glutamate","leukemicSpleen",3292.18907811097
"aspartate","leukemicSpleen",1490.70398973739
"succinate","leukemicSpleen",103.921660070898
"malate","leukemicSpleen",162.661034231482
"a-ketoglutarate","leukemicSpleen",94.5028470580592
"citrate/isocitrate","leukemicSpleen",1396.47829343608
"aspartate","xenograftCRC",255.130538894175
"aspartate","xenograftCRC",481.921081132844
"aspartate","xenograftCRC",197.000325458418
"aspartate","xenograftCRC",106.976671713785
"aspartate","GEMMPDAC",443.457624235012
"aspartate","GEMMPDAC",283.451774026646
"aspartate","GEMMPDAC",1190.96718814811
"aspartate","GEMMPDAC",517.58018298017
"aspartate","flankPDAC",375.218250667345
"aspartate","flankPDAC",478.864586958417
"aspartate","flankPDAC",375.074171443684
"aspartate","flankPDAC",340.701577609419
"aspartate","GEMMNSCLC",1393.58848228936
"aspartate","GEMMNSCLC",1703.18073303377
"aspartate","GEMMNSCLC",1262.10323669798
"aspartate","GEMMNSCLC",700.991753991305
"aspartate","flankNSCLC",419.910294929376
"aspartate","flankNSCLC",637.647141535609
"aspartate","flankNSCLC",159.456515709528
"aspartate","flankNSCLC",234.823175526301
"glutamate","xenograftCRC",1853.29906253275
"glutamate","xenograftCRC",1882.75068027823
"glutamate","xenograftCRC",1954.03381896058
"glutamate","xenograftCRC",1189.66612273036
"glutamate","GEMMPDAC",896.155899841674
"glutamate","GEMMPDAC",752.518979310691
"glutamate","GEMMPDAC",3303.24231525101
"glutamate","GEMMPDAC",1784.32332112246
"glutamate","flankPDAC",1904.29748473871
"glutamate","flankPDAC",2732.69870850202
"glutamate","flankPDAC",1512.01836117507
"glutamate","flankPDAC",2616.23952877165
"glutamate","GEMMNSCLC",2557.3058841242
"glutamate","GEMMNSCLC",3163.94812254083
"glutamate","GEMMNSCLC",2240.66104393869
"glutamate","GEMMNSCLC",2196.7027115107
"glutamate","flankNSCLC",2014.40364914303
"glutamate","flankNSCLC",4362.17638158634
"glutamate","flankNSCLC",1016.53619747388
"glutamate","flankNSCLC",1370.69856116112
"a-ketoglutarate","xenograftCRC",48.14716731754
"a-ketoglutarate","xenograftCRC",23.2555505857151
"a-ketoglutarate","xenograftCRC",55.6435117118615
"a-ketoglutarate","xenograftCRC",42.5090563609545
"a-ketoglutarate","GEMMPDAC",28.9406366007712
"a-ketoglutarate","GEMMPDAC",29.0903116806698
"a-ketoglutarate","GEMMPDAC",52.0881512143762
"a-ketoglutarate","GEMMPDAC",39.4042184107681
"a-ketoglutarate","flankPDAC",51.3746140023411
"a-ketoglutarate","flankPDAC",65.6446865659061
"a-ketoglutarate","flankPDAC",34.6745552706952
"a-ketoglutarate","flankPDAC",61.0352272194855
"a-ketoglutarate","GEMMNSCLC",52.3786996724681
"a-ketoglutarate","GEMMNSCLC",65.3741937431445
"a-ketoglutarate","GEMMNSCLC",54.2409931133173
"a-ketoglutarate","GEMMNSCLC",56.1895477797438
"a-ketoglutarate","flankNSCLC",71.2162933901768
"a-ketoglutarate","flankNSCLC",84.3603936221475
"a-ketoglutarate","flankNSCLC",59.8420584731319
"a-ketoglutarate","flankNSCLC",59.5595122635723
"citrate/isocitrate","xenograftCRC",243.728101451858
"citrate/isocitrate","xenograftCRC",110.282008459768
"citrate/isocitrate","xenograftCRC",145.775906252011
"citrate/isocitrate","GEMMPDAC",184.517725228185
"citrate/isocitrate","GEMMPDAC",73.0901737241136
"citrate/isocitrate","GEMMPDAC",89.383775508375
"citrate/isocitrate","GEMMPDAC",100.258297156472
