"Compound","C_Label","fraction","tissue","time"
"succinate",3,0.000967716,"spleen",75
"succinate",4,0.015728313,"spleen",75
"malate",1,0.012916626,"spleen",75
"malate",2,0.011151962,"spleen",75
"malate",3,0.001454796,"spleen",75
"malate",4,0.017186594,"spleen",75
"aspartate",1,0.010709147,"spleen",75
"aspartate",2,0.010226174,"spleen",75
"aspartate",3,0.000806615,"spleen",75
"aspartate",4,0.015912728,"spleen",75
"glutamate",1,0.00802692,"liver",75
"glutamate",2,0.002808505,"liver",75
"glutamate",3,0.005653282,"liver",75
"glutamate",4,0,"liver",75
"glutamate",5,0.025389303,"liver",75
"succinate",1,0.015384388,"liver",75
"succinate",2,0.006568596,"liver",75
"succinate",3,0.003851043,"liver",75
"succinate",4,0.013383196,"liver",75
"malate",1,0.018835795,"liver",75
"malate",2,0.004357726,"liver",75
"malate",3,0.004912828,"liver",75
"malate",4,0.00639385,"liver",75
"aspartate",1,0.010122054,"liver",75
"aspartate",2,0.003147929,"liver",75
"aspartate",3,0.002756942,"liver",75
"aspartate",4,0.004146203,"liver",75
"glutamate",1,0.00946137,"kidney",75
"glutamate",2,0.002569062,"kidney",75
"glutamate",3,0.004539935,"kidney",75
"glutamate",4,0,"kidney",75
"glutamate",5,0.009052797,"kidney",75
"succinate",1,0.011981692,"kidney",75
"succinate",2,0.004210432,"kidney",75
"succinate",3,0.001301233,"kidney",75
"succinate",4,0.004237321,"kidney",75
"malate",1,0.011450522,"kidney",75
"malate",2,0.003790457,"kidney",75
"malate",3,0.001374214,"kidney",75
"malate",4,0.004174035,"kidney",75
"aspartate",1,0.008427708,"kidney",75
"aspartate",2,0.003926057,"kidney",75
"aspartate",3,0.001092703,"kidney",75
"aspartate",4,0.003466595,"kidney",75
"glutamate",1,0.008539704,"lung",75
"glutamate",2,0.002285661,"lung",75
"glutamate",3,0.005957711,"lung",75
"glutamate",4,0,"lung",75
"glutamate",5,0.006826656,"lung",75
"succinate",1,0.008796472,"lung",75
"succinate",2,0.005730825,"lung",75
"succinate",3,0.000555632,"lung",75
"succinate",4,0.001644399,"lung",75
"malate",1,0.01142046,"lung",75
"malate",2,0.004608639,"lung",75
"malate",3,0.00120047,"lung",75
"malate",4,0.005403,"lung",75
"aspartate",1,0.009309345,"lung",75
"aspartate",2,0.004531012,"lung",75
"aspartate",3,0.000400647,"lung",75
"aspartate",4,0.005753465,"lung",75
"glutamate",1,0.009104553,"quad",75
"glutamate",2,0.001562888,"quad",75
"glutamate",3,0.004271122,"quad",75
"glutamate",4,0,"quad",75
"glutamate",5,0.011713158,"quad",75
"succinate",1,0.007726531,"quad",75
"succinate",2,0.00434275,"quad",75
"succinate",3,6.10952e-05,"quad",75
"succinate",4,0.004730686,"quad",75
"malate",1,0.007054848,"quad",75
"malate",2,0.004431848,"quad",75
"malate",3,0.000320596,"quad",75
"malate",4,0.004936245,"quad",75
"aspartate",1,0.006038795,"quad",75
"aspartate",2,0.00326329,"quad",75
"aspartate",3,0,"quad",75
"aspartate",4,0.005360798,"quad",75
"glutamate",1,0.016563277,"intestine",75
"glutamate",2,0.005845754,"intestine",75
"glutamate",3,0.012403101,"intestine",75
"glutamate",4,0,"intestine",75
"glutamate",5,0.020211202,"intestine",75
"succinate",1,0.024950537,"intestine",75
"succinate",2,0.017801817,"intestine",75
"succinate",3,0.002524521,"intestine",75
"succinate",4,0.022669657,"intestine",75
"malate",1,0.020663668,"intestine",75
"malate",2,0.013471584,"intestine",75
"malate",3,0.003505288,"intestine",75
"malate",4,0.01847879,"intestine",75
"aspartate",1,0.012525012,"intestine",75
"aspartate",2,0.012695852,"intestine",75
"aspartate",3,0.000910796,"intestine",75
"aspartate",4,0.015584816,"intestine",75
"glutamate",1,0.020343306,"pancreas",75
"glutamate",2,0.009909378,"pancreas",75
"glutamate",3,0.017256022,"pancreas",75
"glutamate",4,0,"pancreas",75
"glutamate",5,0.056508957,"pancreas",75
"succinate",1,0.025892746,"pancreas",75
"succinate",2,0.021235098,"pancreas",75
"succinate",3,0.010436472,"pancreas",75
"succinate",4,0.033993972,"pancreas",75
"malate",1,0.027149068,"pancreas",75
"malate",2,0.018000959,"pancreas",75
"malate",3,0.011408544,"pancreas",75
"malate",4,0.027950653,"pancreas",75
"aspartate",1,0.020151304,"pancreas",75
"aspartate",2,0.016150106,"pancreas",75
"aspartate",3,0.008890491,"pancreas",75
"aspartate",4,0.023012188,"pancreas",75
"glutamate",1,0.003926186,"spleen",25
"glutamate",2,0.000887733,"spleen",25
"glutamate",3,0.005990042,"spleen",25
"glutamate",4,0,"spleen",25
"glutamate",5,0.01618545,"spleen",25
"succinate",1,0.005287357,"spleen",25
"succinate",2,0.007190139,"spleen",25
"succinate",3,0.000415123,"spleen",25
"succinate",4,0.016018159,"spleen",25
"malate",1,0.005686717,"spleen",25
"malate",2,0.005683957,"spleen",25
"malate",3,0.00052896,"spleen",25
"malate",4,0.013377086,"spleen",25
