"Compound","C_Label","fraction","tissue","time","omitFromFit"
"glutamate",1,0.042667302,"brown adipose",90,TRUE
"glutamate",2,0.03072882,"brown adipose",90,TRUE
"glutamate",3,0.005302373,"brown adipose",90,TRUE
"succinate",1,0.068872405,"brown adipose",90,TRUE
"succinate",2,0.032111439,"brown adipose",90,TRUE
"succinate",3,0.012070719,"brown adipose",90,TRUE
"malate",1,0.059506247,"brown adipose",90,TRUE
"malate",2,0.027711641,"brown adipose",90,TRUE
"malate",3,0.011155129,"brown adipose",90,TRUE
"aspartate",1,0.03313756,"brown adipose",90,TRUE
"aspartate",2,0.017099902,"brown adipose",90,TRUE
"aspartate",3,0.00639977,"brown adipose",90,TRUE
"glutamate",1,0.037048647,"colon",90,FALSE
"glutamate",2,0.024630378,"colon",90,FALSE
"glutamate",3,0.007491454,"colon",90,FALSE
"succinate",1,0.053977209,"colon",90,FALSE
"succinate",2,0.031965883,"colon",90,FALSE
"succinate",3,0.008127555,"colon",90,FALSE
"malate",1,0.052465767,"colon",90,FALSE
"malate",2,0.028728292,"colon",90,FALSE
"malate",3,0.013640731,"colon",90,FALSE
"aspartate",1,0.043794543,"colon",90,FALSE
"aspartate",2,0.019387847,"colon",90,FALSE
"aspartate",3,0.010006085,"colon",90,FALSE
"glutamate",1,0.037763376,"colon",90,FALSE
"glutamate",2,0.022809581,"colon",90,FALSE
"glutamate",3,0.005578632,"colon",90,FALSE
"succinate",1,0.048958269,"colon",90,FALSE
"succinate",2,0.025682369,"colon",90,FALSE
"succinate",3,0.008035082,"colon",90,FALSE
"malate",1,0.046130815,"colon",90,FALSE
"malate",2,0.022629889,"colon",90,FALSE
"malate",3,0.010919925,"colon",90,FALSE
"aspartate",1,0.036613475,"colon",90,FALSE
"aspartate",2,0.017850124,"colon",90,FALSE
"aspartate",3,0.007194563,"colon",90,FALSE
"glutamate",1,0.057253561,"lung",90,FALSE
"glutamate",2,0.046170621,"lung",90,FALSE
"glutamate",3,0.008216833,"lung",90,FALSE
"succinate",1,0.068033385,"lung",90,FALSE
"succinate",2,0.042917673,"lung",90,FALSE
"succinate",3,0.002840481,"lung",90,FALSE
"malate",1,0.07191486,"lung",90,FALSE
"malate",2,0.043537147,"lung",90,FALSE
"malate",3,0.015279649,"lung",90,FALSE
"aspartate",1,0.056989666,"lung",90,FALSE
"aspartate",2,0.036072603,"lung",90,FALSE
"aspartate",3,0.012939456,"lung",90,FALSE
